全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
382019,E3820100602201,城山公園,シロヤマコウエン,,382019,,愛媛県松山市堀之内,,,,,,33.84199297,132.7618544,,,,,,,,382019,愛媛県松山市,,,1,1,1,1,,,,,"50,700 ",,,,,
382019,E3820100407201,東雲公園,シノノメコウエン,,382019,,愛媛県松山市東雲町7-2,,,,,,33.84578624,132.7736788,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"4,800 ",,,,,
382019,E3820100199201,持田若宮公園,モチダワカミヤコウエン,,382019,,愛媛県松山市持田町3-250-1,,,,,,33.84437357,132.781522,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,900 ,,,,,
382019,E3820100177201,八坂公園,ヤサカコウエン,,382019,,愛媛県松山市三番町1-3-3,,,,,,33.83718035,132.7729964,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100194201,枝松公園,エダマツコウエン,,382019,,愛媛県松山市枝松4-229-1 外,,,,,,33.83129557,132.7860078,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,900 ",,,,,
382019,E3820100196201,川附公園（福音公園）,カワツケコウエンフクオンコウエン,,382019,,愛媛県松山市枝松6-14-4,,,,,,33.82445,132.784796,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,500 ",,,,,
382019,E3820100224201,小坂公園,コサカコウエン,,382019,,愛媛県松山市小坂5-306-3,,,,,,33.82545125,132.7810031,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,900 ,,,,,
382019,E3820100358201,中村公園,ナカムラコウエン,,382019,,愛媛県松山市中村3-367-1,,,,,,33.83161151,132.7757263,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,600 ,,,,,
382019,E3820100343201,拓川市民運動広場,タクセンシミンウンドウヒロバ,,382019,,愛媛県松山市拓川町453-1,,,,,,33.82648217,132.7656567,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"9,607 ",,,,,
382019,E3820100221201,小栗公園,オグリコウエン,,382019,,愛媛県松山市小栗6-202-1,,,,,,33.82685381,132.7552119,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,500 ",,,,,
382019,E3820100099201,空港通１，２公園,クウコウドオリイチニコウエン,,382019,,愛媛県松山市空港通1-247外,,,,,,33.8274808,132.7503708,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"4,000 ",,,,,
382019,E3820100400201,土居田公園,ドイダコウエン,,382019,,愛媛県松山市土居田町423,,,,,,33.82417373,132.7459932,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,000 ",,,,,
382019,E3820100401201,土居田本村公園,ドイダホンムラコウエン,,382019,,愛媛県松山市土居田町581-2,,,,,,33.82033215,132.7437885,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,500 ",,,,,
382019,E3820100267201,針田公園,ハリタコウエン,,382019,,愛媛県松山市針田町107-5 外,,,,,,33.82351598,132.7363038,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,100 ",,,,,
382019,E3820100178201,新玉公園,アラタマコウエン,,382019,,愛媛県松山市三番町6-4-21 外,,,,,,33.8381426,132.7597269,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100306201,幸町公園,サイワイマチコウエン,,382019,,愛媛県松山市千舟町7-6-7,,,,,,33.83781724,132.7551114,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,200 ",,,,,
382019,E3820100609201,南味酒公園,ミナミミサケコウエン,,382019,,愛媛県松山市味酒町1-11,,,,,,33.84249547,132.7554043,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,700 ",,,,,
382019,E3820100464201,南江戸公園,ミナミエドコウエン,,382019,,愛媛県松山市南江戸4-972,,,,,,33.83748148,132.7424507,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"17,400 ",,,,,
382019,E3820100381201,松山総合公園,マツヤマソウゴウコウエン,,382019,,愛媛県松山市朝日ヶ丘1,,,,,,33.84386873,132.7395232,,,,,,,,382019,愛媛県松山市,1,,1,1,1,1,,,,,"24,800 ",,,,,
382019,E3820100382201,朝日ケ丘公園,アサヒガオカコウエン,,382019,,愛媛県松山市朝日ヶ丘2-1464,,,,,,33.84760635,132.7436076,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"3,000 ",,,,,
382019,E3820100001201,愛光公園,アイコウコウエン,,382019,,愛媛県松山市愛光町395-1,,,,,,33.84643801,132.7497798,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100062201,萱町公園,カヤマチコウエン,,382019,,愛媛県松山市萱町5-10-1,,,,,,33.85042199,132.7566385,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100611201,木屋町公園,キヤチョウコウエン,,382019,,愛媛県松山市木屋町3-4-3,,,,,,33.85212692,132.7600655,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,100 ",,,,,
382019,E3820100281201,清水公園,シミズコウエン,,382019,,愛媛県松山市清水町2-7-2,,,,,,33.850132,132.762921,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"3,100 ",,,,,
382019,E3820100516201,姫原西公園,ヒメバラニシコウエン,,382019,,愛媛県松山市姫原3-392-4,,,,,,33.86487062,132.7561643,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"1,200 ",,,,,
382019,E3820100180201,日分公園,ニチブコウエン,,382019,,愛媛県松山市山越1-531-12,,,,,,33.85676054,132.7583447,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,300 ",,,,,
382019,E3820100183201,丁地公園,チョウジコウエン,,382019,,愛媛県松山市山越5-10-3,,,,,,33.86028398,132.7508023,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,600 ",,,,,
382019,E3820100184201,山越公園,ヤマゴエコウエン,,382019,,愛媛県松山市山越5-3-1,,,,,,33.860441,132.752969,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"3,100 ",,,,,
382019,E3820100185201,高崎公園,タカサキコウエン,,382019,,愛媛県松山市山越6-13-1,,,,,,33.856821,132.750997,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"3,200 ",,,,,
382019,E3820100278201,正円寺公園,ショウエンジコウエン,,382019,,愛媛県松山市正円寺3-54-4地内,,,,,,33.8381456,132.8003325,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,500 ",,,,,
382019,E3820100431201,ひがしの北公園,ヒガシノキタコウエン,,382019,,愛媛県松山市東野3-甲278-1 外,,,,,,33.84354609,132.8029739,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,000 ",,,,,
382019,E3820100110201,経石山公園,キョウセキザンコウエン,,382019,,愛媛県松山市桑原4-408 外,,,,,,33.83061868,132.7940325,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"1,200 ",,,,,
382019,E3820100504201,畑寺公園,ハタデラコウエン,,382019,,愛媛県松山市畑寺1-508-1 外,,,,,,33.83211844,132.8000167,,,,,,,,382019,愛媛県松山市,,,1,1,1,,,,,,"1,900 ",,,,,
382019,E3820100174201,三町三角公園,サンチョウサンカクコウエン,,382019,,愛媛県松山市三町3-85-2,,,,,,33.82392032,132.798015,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,300 ,,,,,
382019,E3820100443201,道後公園,ドウゴコウエン,,382019,,愛媛県松山市道後公園地内,,,,,,33.8485383,132.7866132,,,,,,,,382019,愛媛県松山市,,,1,1,1,,,,,,"85,600 ",,,,,
382019,E3820100449201,湯月公園,ユヅキコウエン,,382019,,愛媛県松山市道後姫塚140-1,,,,,,33.85047419,132.7906429,,,,,,,,382019,愛媛県松山市,1,,1,1,1,,,,,,"17,000 ",,,,,
382019,E3820100208201,祝谷公園,イワイダニコウエン,,382019,,愛媛県松山市祝谷4-869-1 外,,,,,,33.856577,132.777409,,,,,,,,382019,愛媛県松山市,,,1,1,1,,,,,,"1,900 ",,,,,
382019,E3820100211201,祝谷北公園,イワイダニキタコウエン,,382019,,愛媛県松山市祝谷6-1093-1 外,,,,,,33.86065722,132.776197,,,,,,,,382019,愛媛県松山市,1,,1,1,1,,,,,,"1,400 ",,,,,
382019,E3820100567201,中津東公園,ナカツヒガシコウエン,,382019,,愛媛県松山市北斎院町乙7-2 外,,,,,,33.83813697,132.7326574,,,,,,,,382019,愛媛県松山市,1,,1,1,1,,,,,,"3,900 ",,,,,
382019,E3820100563201,北斎院公園,キタサヤコウエン,,382019,,愛媛県松山市北斎院町242-3 外,,,,,,33.8343658,132.7295908,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,600 ",,,,,
382019,E3820100566201,津田公園,ツダコウエン,,382019,,愛媛県松山市北斎院町810-1,,,,,,33.84133588,132.718939,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"1,800 ",,,,,
382019,E3820100564201,中津公園,ナカツコウエン,,382019,,愛媛県松山市北斎院町469-1,,,,,,33.83743269,132.7251053,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,000 ",,,,,
382019,E3820100548201,福水公園,フクスイコウエン,,382019,,愛媛県松山市別府町927-1,,,,,,33.84619845,132.7282647,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"2,900 ",,,,,
382019,E3820100547201,別府清水山公園,ベフシミズヤマコウエン,,382019,,愛媛県松山市別府町755-2 外,,,,,,33.84662545,132.7157177,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,500 ",,,,,
382019,E3820100546201,飯岡公園,イイオカコウエン,,382019,,愛媛県松山市別府町538-3,,,,,,33.84897051,132.7206981,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"2,000 ",,,,,
382019,E3820100471201,南斎院公園,ミナミサヤコウエン,,382019,,愛媛県松山市南斎院町232-3,,,,,,33.8311156,132.7348739,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"1,200 ",,,,,
382019,E3820100188201,山西公園,ヤマニシコウエン,,382019,,愛媛県松山市山西町909,,,,,,33.85410177,132.7227332,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,200 ",,,,,
382019,E3820100279201,三本柳公園（清住公園）,サンボンヤナギコウエンキヨスミコウエン,,382019,,愛媛県松山市清住1-8-4,,,,,,33.85442282,132.71904,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,400 ",,,,,
382019,E3820100333201,三津大可賀公園,ミツオオカガコウエン,,382019,,愛媛県松山市大可賀1-5,,,,,,33.85462742,132.7147449,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"13,700 ",,,,,
382019,E3820100517201,富久公園,トミヒサコウエン,,382019,,愛媛県松山市富久町302-5 外,,,,,,33.82343039,132.7279028,,,,,,,,382019,愛媛県松山市,,1,1,1,1,,,,,,"2,200 ",,,,,
